委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202201100135,隆辰煤厂,116.321535,39.624749,好力歹奶牛小区,116.409836,39.98491,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,300
WTD202201100133,隆辰煤厂,116.321535,39.624749,城郊办事处团结屯,116.409836,39.98491,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,330
WTD202201100129,隆辰煤厂,116.321535,39.624749,好力歹奶牛小区,116.409836,39.98491,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,340
WTD202201100127,隆辰煤厂,116.321535,39.624749,城郊办事处团结屯,116.409836,39.98491,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,340
WTD202201170013,准格尔召镇,110.20605,39.702807,图克镇大2线呼吉尔特村,109.383867,38.998551,煤炭,100000,2021-12-30T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,90
WTD202112300056,准格尔召镇,110.20605,39.702807,图克镇大2线呼吉尔特村,109.383867,38.998551,煤炭,100000,2021-12-30T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,60
WTD202202260001,福源加油站,116.769153,40.23861,中物码头,116.459673,39.955775,原煤,15000,2022-02-22T00:00:00.000+08:00,2022-03-31T23:59:59.000+08:00,320
WTD202201240108,准格尔旗金正泰煤炭有限责任公司,110.309005,39.670217,呼准公路57.5公里百泓煤场,111.464675,40.480212,煤,500000,2022-01-24T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,65
WTD202201240105,准格尔旗金正泰煤炭有限责任公司,110.309005,39.670217,内蒙古自治区呼和浩特市托克托县呼准公路57.5公里百泓煤场,111.464675,40.480212,煤,900000,2022-01-12T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,65
WTD202201240101,准格尔旗金正泰煤炭有限责任公司,110.309005,39.670217,点岱沟站台,111.282596,39.814846,煤,100000,2022-01-05T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,36.97
WTD202201100165,准格尔旗金正泰煤炭有限责任公司,110.309005,39.670217,新店子镇上脑亥村内蒙古和林发电厂,112.164727,40.267322,煤,500000,2022-01-10T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,73.16
